CIVIC_NUMBER;Geo Local Area;Geom;P_PARCEL_ID;PCOORD;SITE_ID;STD_STREET;geo_point_2d
475;Downtown;"{""coordinates"": [-123.10013495653612, 49.28079831741777], ""type"": ""Point""}";__FJ189E;19059097;015670449;MAIN ST;49.28079831741777, -123.10013495653612
475;Downtown;"{""coordinates"": [-123.10014980669256, 49.280662918109726], ""type"": ""Point""}";__FJ189I;19059097;015670465;MAIN ST;49.280662918109726, -123.10014980669256
475;Downtown;"{""coordinates"": [-123.10015310194494, 49.28059275285667], ""type"": ""Point""}";__FJ189K;19059097;015670473;MAIN ST;49.28059275285667, -123.10015310194494
801;Downtown;"{""coordinates"": [-123.10020509580238, 49.27753588422986], ""type"": ""Point""}";__FJ18AQ;19059805;015642780;MAIN ST;49.27753588422986, -123.10020509580238
801;Downtown;"{""coordinates"": [-123.10021386726174, 49.27738655656755], ""type"": ""Point""}";__FJ18AU;19059805;015642801;MAIN ST;49.27738655656755, -123.10021386726174
801;Downtown;"{""coordinates"": [-123.100219358768, 49.27704339451351], ""type"": ""Point""}";__FJ18B4;19059805;015642852;MAIN ST;49.27704339451351, -123.100219358768
801;Downtown;"{""coordinates"": [-123.10022126419761, 49.276972780660465], ""type"": ""Point""}";__FJ18B6;19059805;015642861;MAIN ST;49.276972780660465, -123.10022126419761
801;Downtown;"{""coordinates"": [-123.10022975604275, 49.27689586446402], ""type"": ""Point""}";__FJ18B8;19059805;015642879;MAIN ST;49.27689586446402, -123.10022975604275
917;Downtown;"{""coordinates"": [-123.10062726035902, 49.27652383792172], ""type"": ""Point""}";__FJ18BO;19060127;015642631;MAIN ST;49.27652383792172, -123.10062726035902
800;Downtown;"{""coordinates"": [-123.10083394912155, 49.27708270849357], ""type"": ""Point""}";__FJ18BS;18659826;015642933;QUEBEC ST;49.27708270849357, -123.10083394912155
800;Downtown;"{""coordinates"": [-123.10070415946942, 49.27708021307812], ""type"": ""Point""}";__FJ18BU;18659826;015642909;QUEBEC ST;49.27708021307812, -123.10070415946942
319;Downtown;"{""coordinates"": [-123.10009821907865, 49.28200119343047], ""type"": ""Point""}";__FJ18C2;19058931;015685420;MAIN ST;49.28200119343047, -123.10009821907865
319;Downtown;"{""coordinates"": [-123.10010150529263, 49.28193327699735], ""type"": ""Point""}";__FJ18C4;19058931;015685462;MAIN ST;49.28193327699735, -123.10010150529263
124;Downtown;"{""coordinates"": [-123.10161821988537, 49.28206583734475], ""type"": ""Point""}";__FJ18C8;58918628;015686141;E CORDOVA ST;49.28206583734475, -123.10161821988537
144;Downtown;"{""coordinates"": [-123.10067596917999, 49.28204850986475], ""type"": ""Point""}";__FJ18CQ;58918664;015585522;E CORDOVA ST;49.28204850986475, -123.10067596917999
145;Downtown;"{""coordinates"": [-123.1006753076807, 49.28256109157856], ""type"": ""Point""}";__FJ18D0;58918667;015697355;E CORDOVA ST;49.28256109157856, -123.1006753076807
145;Downtown;"{""coordinates"": [-123.10077980939799, 49.2825623497604], ""type"": ""Point""}";__FJ18D2;58918667;015697371;E CORDOVA ST;49.2825623497604, -123.10077980939799
119;Downtown;"{""coordinates"": [-123.10109538257713, 49.28256882048246], ""type"": ""Point""}";__FJ18D8;58918635;005076285;E CORDOVA ST;49.28256882048246, -123.10109538257713
119;Downtown;"{""coordinates"": [-123.10119851301556, 49.28257187852058], ""type"": ""Point""}";__FJ18DA;58918635;005076404;E CORDOVA ST;49.28257187852058, -123.10119851301556
119;Downtown;"{""coordinates"": [-123.10141161675345, 49.282575739521405], ""type"": ""Point""}";__FJ18DE;58918635;005076251;E CORDOVA ST;49.282575739521405, -123.10141161675345
119;Downtown;"{""coordinates"": [-123.1015161212891, 49.282578346311304], ""type"": ""Point""}";__FJ18DG;58918635;005076200;E CORDOVA ST;49.282578346311304, -123.1015161212891
107;Downtown;"{""coordinates"": [-123.10161938740472, 49.28258049534181], ""type"": ""Point""}";__FJ18DI;58918605;015697398;E CORDOVA ST;49.28258049534181, -123.10161938740472
124;Downtown;"{""coordinates"": [-123.10129019468788, 49.28296668640865], ""type"": ""Point""}";__FJ18DM;58018636;015697461;POWELL ST;49.28296668640865, -123.10129019468788
103;Downtown;"{""coordinates"": [-123.10169062437353, 49.28345586113491], ""type"": ""Point""}";__FJ18DW;58018605;015702537;POWELL ST;49.28345586113491, -123.10169062437353
150;Downtown;"{""coordinates"": [-123.10099448194723, 49.28379227052435], ""type"": ""Point""}";__FJ18E4;57918642;VAS1232;ALEXANDER ST;49.28379227052435, -123.10099448194723
153;Downtown;"{""coordinates"": [-123.1009424472778, 49.283426653154145], ""type"": ""Point""}";__FJ18E6;58018657;007346808;POWELL ST;49.283426653154145, -123.1009424472778
120;Downtown;"{""coordinates"": [-123.10156795805288, 49.28297317998187], ""type"": ""Point""}";__FJ18EE;58018626;LMS113;POWELL ST;49.28297317998187, -123.10156795805288
325;Downtown;"{""coordinates"": [-123.1001020507614, 49.28186311414336], ""type"": ""Point""}";__FJ18EG;19058945;011190001;MAIN ST;49.28186311414336, -123.1001020507614
329;Downtown;"{""coordinates"": [-123.10010521142252, 49.281726384710744], ""type"": ""Point""}";__FJ18EK;19058965;015685551;MAIN ST;49.281726384710744, -123.10010521142252
329;Downtown;"{""coordinates"": [-123.10010781566632, 49.28165441203994], ""type"": ""Point""}";__FJ18EM;19058965;015685608;MAIN ST;49.28165441203994, -123.10010781566632
169;Downtown;"{""coordinates"": [-123.10060527223632, 49.2816585765359], ""type"": ""Point""}";__FJ18FI;59018677;015685781;E HASTINGS ST;49.2816585765359, -123.10060527223632
159;Downtown;"{""coordinates"": [-123.10081977535319, 49.28166287817325], ""type"": ""Point""}";__FJ18FK;59018663;015685926;E HASTINGS ST;49.28166287817325, -123.10081977535319
141;Downtown;"{""coordinates"": [-123.10113255801745, 49.2816657531572], ""type"": ""Point""}";__FJ18FQ;59018651;015686043;E HASTINGS ST;49.2816657531572, -123.10113255801745
123;Downtown;"{""coordinates"": [-123.10144688417957, 49.281670335023165], ""type"": ""Point""}";__FJ18G0;59018635;015686418;E HASTINGS ST;49.281670335023165, -123.10144688417957
163;Downtown;"{""coordinates"": [-123.10071197086558, 49.28165928416027], ""type"": ""Point""}";__FJ18G2;59018671;015686558;E HASTINGS ST;49.28165928416027, -123.10071197086558
200;Downtown;"{""coordinates"": [-123.11024417077965, 49.2821783030582], ""type"": ""Point""}";__FJ18G8;59015606;006588654;W HASTINGS ST;49.2821783030582, -123.11024417077965
198;Downtown;"{""coordinates"": [-123.10951995995497, 49.2821180134263], ""type"": ""Point""}";__FJ18GI;59015706;024477648;W HASTINGS ST;49.2821180134263, -123.10951995995497
72;Downtown;"{""coordinates"": [-123.10297648939013, 49.28017081699529], ""type"": ""Point""}";__FJ18GS;59217854;010133399;E PENDER ST;49.28017081699529, -123.10297648939013
79;Downtown;"{""coordinates"": [-123.10271114182642, 49.280693223333046], ""type"": ""Point""}";__FJ18GU;59217875;015669572;E PENDER ST;49.280693223333046, -123.10271114182642
52;Downtown;"{""coordinates"": [-123.10292320566991, 49.283425337635286], ""type"": ""Point""}";__FJ18H8;58017843;004381874;ALEXANDER ST;49.283425337635286, -123.10292320566991
109;Downtown;"{""coordinates"": [-123.10176946255682, 49.281676069144346], ""type"": ""Point""}";__FJ18HG;59018621;015686582;E HASTINGS ST;49.281676069144346, -123.10176946255682
